caption,comments1,comments,likes,timestamp,url,collection date,timespan,time,wc,log(wc),post interval,pf,sf,sf_new,saturation,revenue,posts,person,plant,cluster1,cluster2,cluster3,pfr,sfr
All aglow. It's candlelight season.,63,63,2646,2025-09-15T18:00:46.000Z,https://www.instagram.com/p/DOoP5oCE4yF/,16-03-2026,15-09-2025,155,21,3.091042453,1,1,0,1,60,0,4680,1,0,,1,0,1,1
"Crafted by artisans in the Philippines, the Eden Handwoven Rattan Trays honor traditional techniques with natural texture and thoughtful design. 

Visit www.potterybarn.in or in-store to explore products on sale!",52,52,2649,2024-10-11T14:03:18.000Z,https://www.instagram.com/p/DA_Iv8JoyH0/,16-03-2026,11-10-2024,422,20,3.044522438,4,1,0,1,81,0,9100,0,0,,0,1,4,1
"If you’re drawn to soft neutrals, Dark Oak might feel bold, but it can bring depth to a muted palette.

Our Interior Designers add Dark Oak accents to enrich lighter tones or use the timeless finish on larger statement pieces to create a sophisticated focal point in minimalist spaces.

Get expert advice on using Dark Oak in your home via the link in bio.

#DanishSofa #QuietLuxuryHome #MinimalistHomeDecor #ContemporaryInteriorDesign",0,0,2650,2026-02-06T11:14:28.000Z,https://www.instagram.com/p/DUahX_gk9B0/,16-03-2026,06-02-2026,23,19,2.995732274,0,0,0,1,1,5.086622,12300,0,0,,0,1,0,1
"Add illuminating intrigue to your kitchen, living room or hallway with the Sofia 6-Light Chandelier. 

Tap to shop now!",48,48,2650,2026-02-04T19:01:38.000Z,https://www.instagram.com/p/DUWDIXdgZ1o/,16-03-2026,04-02-2026,24,50,3.931825633,0,3,0,1,94,0,4680,1,0,,1,1,0,1
"Celebrate Christmas with our Terracotta Snowman, a timeless accent for your holiday décor ❄️⛄🎄
Visit in-store or shop online at www.potterybarn.in",85,85,2650,2025-12-12T08:04:56.000Z,https://www.instagram.com/p/DSJ_IAnkp2f/,16-03-2026,12-12-2025,59,93,4.543294782,0,3,0,1,116,2.314609427,4750,0,0,,0,0,3,1
"We’ve stripped back the noise to let the design speak. Join us at The Living Gallery. 

Experience & Editions Hall 3
Booth 141, 160

19-22 Feb, 2026, 11am-7pm
NSIC Grounds, Okhla, New Delhi

[Furniture, Interior Design, Architect, Designer, Design Event, Product Design, Decor, Design Community, West Elm]

#Design #TheLivingGallery #ModernCollectibles #NewCollection #IndiaDesignID2026",94,94,2650,2025-08-09T12:30:00.000Z,https://www.instagram.com/p/DNImL4dBmzC/,16-03-2026,09-08-2025,183,20,3.044522438,1,1,8,1,60,0,9100,0,1,,0,0,10,1
"Details worth a double take.

@alishehi.interiors
@stagedtosellhome

#mycb2",52,52,2659,2025-08-09T12:30:00.000Z,https://www.instagram.com/p/DNImI8mzY2w/,16-03-2026,09-08-2025,184,15,2.772588722,1,1,6,1,21,3.901434213,12300,0,1,,0,1,0,1
"Designed for gatherings big and small. The Barwell Dining Table sets the stage for every occasion. 
Shop in-store or at www.westelm.in",70,70,2676,2025-10-05T07:31:00.000Z,https://www.instagram.com/p/DPa1MJUDa_i/,16-03-2026,05-10-2025,126,32,3.496507561,1,1,0,1,81,2.221935188,4750,1,0,,0,1,3,1
"Welcome Summer with a bedroom refresh: layer airy linen bedspreads and cushions for a look that’s effortlessly cool and inviting. 

Keep cool all Summer long when you follow the link our bio to shop accessories.",60,60,2678,2025-01-15T07:35:00.000Z,https://www.instagram.com/p/DE1ooUBsDQX/,16-03-2026,15-01-2025,340,23,3.17805383,2,1,1,1,87,4.823921,12300,0,1,,1,1,7,1
"Aluminium candleholders in two sizes, designed to elevate.

Visit us in-store or shop online at www.potterybarn.in",33,33,2679,2025-12-09T18:00:48.000Z,https://www.instagram.com/p/DSDHNY-iZxO/,16-03-2026,09-12-2025,64,67,4.219507705,1,1,7,1,102,4.09740788,4680,1,1,,0,0,9,1
"Clean lines and Natural Oak tones make the Aarhus collection the perfect backdrop for time well spent at home.

Pair Aarhus with the soft Ridge rug, marble Curve bowl and Fragment Candlestick to create a calm setting for seasonal gatherings and everyday moments alike.

Shop the look via the link in bio.

#DanishSofa #ModernLivingRoom #DesignerLivingRoom",82,82,2681,2025-07-13T16:24:08.000Z,https://www.instagram.com/p/DMDfeBFJ44p/,16-03-2026,13-07-2025,199,41,3.737669618,1,0,0,1,129,1.994439926,10350,1,0,,0,1,0,1
"Simple switch that transforms the room - soft fabrics, classic tones, and endlessly inviting comfort. 

Shop the collection from Pottery Barn, now available at The White Crow store.",0,0,2688,2026-01-27T18:00:19.000Z,https://www.instagram.com/p/DUBc_LRAQj1/,16-03-2026,27-01-2026,26,21,3.091042453,0,1,0,1,84,4.987935,4680,0,1,,0,1,0,1
"Company is coming. Bring out the good blankets, light the candles, write the notes. Everyone will want to be your guest.",90,90,2689,2025-02-08T07:45:00.000Z,https://www.instagram.com/p/DFzc6pvohDv/,16-03-2026,08-02-2025,317,27,3.33220451,1,1,4,1,20,4.793556,12300,1,0,,0,1,2,1
"Get ready to deck the halls (and your table) for all the upcoming holidays. 

Shop the collection on www.potterybarn.in or in-stores now.",42,42,2691,2025-09-04T12:30:00.000Z,https://www.instagram.com/p/DOLi4WHk5Mx/,16-03-2026,04-09-2025,166,62,4.143134726,0,1,5,1,20,4.643214027,12300,0,1,,1,0,9,1
"Inspired by vintage forms, our Bright Ceramicist Vases show off the unique qualities of their glazed finishes. 

Final hours of sale! Shop now at www.westelm.in or visit in-stores.",0,0,2691,2025-08-18T06:29:58.000Z,https://www.instagram.com/p/DNfIFwhxQ1Q/,16-03-2026,18-08-2025,179,8,2.197224577,1,1,5,1,34,4.83448142,4750,0,1,,0,0,2,1
"Love in Little Things, a Photo Story
[ECHOES OF US | A Photo Series: 1 of 4]

It’s not about grand gestures.
It’s the sacred patterns, stolen smiles, and traditions built one Sunday at a time.

A dish, a message, a sweet given without a thought.

This Father’s Day, we treasure the moments that need no words.
They are the kind that comfort us long after they happen.

Say it all with a gift, a token, that’ll always be remembered, a moment that you both cherish for a lifetime…

Explore Fabindia for gifts that are set to make this Father’s Day all about smiles and memories.
.
.
.
.
.
.
.
#fathersday #father #giftsforfathers #twinning #gifting #giftingideas #fabindia #fabindiashirts #newarrivals",100,100,2695,2024-12-25T08:05:00.000Z,https://www.instagram.com/p/DD_na3dIx4n/,16-03-2026,25-12-2024,362,36,3.610917913,2,1,5,1,78,5.306284,12300,1,1,,0,0,8,1
"The perfect balance of style and substance. The Larkin Accent Table adds a modern edge to classic spaces. 
Shop now!",0,0,2698,2025-12-24T07:10:27.000Z,https://www.instagram.com/p/DSoyeVcjB9P/,16-03-2026,24-12-2025,51,36,3.610917913,1,7,9,1,143,2.983820461,10350,0,1,,0,1,7,1
"A lamp. A bistro table. Proof that everything looks better in marble. 

@stagedtosellhome
@denidoveinteriors

#mycb2",0,0,2703,2025-10-25T18:01:12.000Z,https://www.instagram.com/p/DQPPgo6jjSv/,16-03-2026,25-10-2025,104,25,3.258096538,2,0,3,1,81,0,4680,0,1,,0,1,0,1
"Warm glow, rich scent, and mercury glass that shines even when unlit. A perfect accent for mantels and tables. 
Shop in stores or online at www.westelm.in",41,41,2710,2025-11-05T18:01:00.000Z,https://www.instagram.com/p/DQrsZFOEtRZ/,16-03-2026,05-11-2025,89,138,4.934473933,1,1,7,1,57,0,4680,0,0,,0,0,3,1
"This summer, style takes the scenic route.

The Cuban collar shirt, tailored ease for sun-warmed hours and slow city walks.

The Kalamkari dress, that flows with you, like a story worn softly.

Together, they’re a rhythm of contrasts: bold yet quiet, rooted yet free.
.
.
.
.
.
.
#newarrivals #ethnic #craft #ethnicwear #kalamkari #fabindia #celebrateIndia #celebratingIndia #summerethnic #menswear",79,79,2716,2026-01-17T18:00:38.000Z,https://www.instagram.com/p/DTniQ_sgD-i/,16-03-2026,17-01-2026,31,58,4.077537444,0,8,6,1,88,3.610184652,4680,1,0,,1,1,5,1
"Crafted from solid wood with a timeworn Sandwash finish, the Aptos Table combines rustic beauty with everyday functionality. Seats up to 8 with the drop-in leaf. 
Shop in stores or online at www.potterybarn.in",32,32,2735,2025-10-17T18:00:36.000Z,https://www.instagram.com/p/DP6pIxaleP4/,16-03-2026,17-10-2025,115,52,3.970291914,0,6,5,1,89,0,4680,0,0,,0,0,5,1
"Choose decor with the same care you would the finishing touches on your outfit. After all, they serve the same purpose.",44,44,3526,2025-09-10T12:30:00.000Z,https://www.instagram.com/p/DOa_pq5iDwL/,16-03-2026,10-09-2025,161,21,3.091042453,0,1,7,1,1,0,9100,0,1,,0,1,6,1
"Lighting that’s designed to be noticed, not just used.

#mycb2",0,0,3527,2025-06-23T15:54:41.000Z,https://www.instagram.com/p/DLP8M0Qp1GV/,16-03-2026,23-06-2025,212,53,3.988984047,2,4,8,1,25,2.917356951,10350,1,1,,1,1,2,1
"Curves over corners.

01. Classic cane chairs with chic rounded backs—@jillwhitedesigns

02. A round of polished Cosmic black marble—@_estherinteriors

03. Layered swirled resin coffee tables—@ag_studiopr

#mycb2",0,0,3889,2025-10-03T15:07:21.000Z,https://www.instagram.com/p/DPWf3Z1ia1f/,16-03-2026,03-10-2025,132,17,2.890371758,0,1,0,1,29,5.040034259,10350,1,0,,0,1,2,1
"Inspired by the relaxed elegance of 1960s Danish design, the Osaka sofa invites you to slow down and enjoy the moment. With retro charm provided by inclined armrests and raised legs, Osaka is proof that relaxation never goes out of style.

Click the link in our bio to shop the Osaka sofa.",0,0,3890,2025-12-11T09:15:00.000Z,https://www.instagram.com/p/DSHiZIpDLQ_/,16-03-2026,11-12-2025,63,244,5.501258211,1,2,3,1,95,4.411450581,10350,1,0,,1,0,0,1
"Celebrating Beautiful Imperfections

Where mornings linger and nothing needs arranging.
Serene brings floral-printed cottons in muted blush, lilac, and sage.

Soft textures, layered light, and a quiet kind of beauty that lives in the in-between.

#Fabindia #BeautifulImperfections #PrintedCotton #SereneSpaces #florals #CottonBedding #HomeDecor #CelebratingOthers

[Fabindia, floral prints, cotton bedding, home décor, muted tones, serene spaces, soft textures, Neutrals, slow mornings, bedroom styling, celebrating others]",44,44,2500,2025-09-02T12:30:00.000Z,https://www.instagram.com/p/DOGZN1iQpWH/,16-03-2026,02-09-2025,168,13,2.63905733,0,2,0,2,1,4.244865526,9100,0,0,,1,0,0,1
"Light meets sculpture. The Cersei Ceramic Lamp adds warmth and artistry to any space. 
Shop in-store or at www.westelm.in",61,61,200,2026-01-06T08:01:26.000Z,https://www.instagram.com/p/DTKWmTyjntA/,16-03-2026,06-01-2026,42,22,3.135494216,1,1,3,2,42,4.982811144,4750,1,1,,0,0,0,1
Not just any chair. A chair by an American design legend. Because every well-collected home needs something from another era.,0,0,200,2025-11-15T19:31:25.000Z,https://www.instagram.com/p/DRFsRM7Ewbm/,16-03-2026,15-11-2025,81,16,2.833213344,0,8,0,2,29,4.606743168,10350,0,1,,1,0,6,1
"Designed to shine through the season, this star-inspired candle holder adds a refined glow to your Christmas décor ✨

 

Shop in stores or online at www.westelm.in",39,39,200,2025-04-03T13:05:04.000Z,https://www.instagram.com/p/DH_EZpfyfoT/,16-03-2026,03-04-2025,257,143,4.9698133,0,1,5,2,48,4.061334416,9100,1,1,,0,1,5,1
"A pop of pattern, a touch of tradition. The Cassia Floral Pillow is perfect for every room.

Explore our latest spring collections in-store or online!",30,30,200,2024-12-11T19:25:00.000Z,https://www.instagram.com/p/DDcyFRzSrBT/,16-03-2026,11-12-2024,374,122,4.812184355,1,1,3,2,1,1.85374264,9100,0,1,,1,0,3,1
"Ayubowan, Sri Lanka! 🇱🇰
We’re bringing India’s finest crafts to your shores. A rich tapestry of heritage, handwork and soul.

From the bold blues of Indigo, the age-old prints of Dabu and Bagru, to the intricate artistry of Ajrakh, Ikat and Kalamkari, each piece tells a story hand-printed, handwoven and handmade.

Explore handcrafted fashion, soulful home décor, wellness essentials and thoughtful gifting at Havelock City Mall.

Celebrate craftsmanship. Discover heritage. Live the art of tradition.
.
.
.
.

[Fabindia, Sri Lanka, handcrafted fashion, sustainable gifting, natural fabrics, heritage textiles, Indigo dye, artisan-made clothing, handcraft traditions, Kalamkari]

#Fabindia #CelebratingPeople #FabindiaSriLanka #SriLanka #FabindiaColombo #HandcraftedInIndia #IndianCrafts #SustainableStyle #ArtisanMade #SriLankaFashion  #HavelockCityMall",92,92,413,2025-11-01T18:01:13.000Z,https://www.instagram.com/p/DQhRGHkD2ss/,16-03-2026,01-11-2025,91,135,4.912654886,1,2,6,2,87,2.28612989,4680,1,1,,1,0,0,1
"Indulge in comfort with our Faux Fur Pillow Covers. 

Available online and in-stores now.",89,89,419,2026-01-13T13:06:39.000Z,https://www.instagram.com/p/DTc7IsmDdxn/,16-03-2026,13-01-2026,35,53,3.988984047,0,1,4,2,29,5.209092,12300,1,1,,0,0,1,1
"The Penn Sofa and Chair combine plush winged arms, graceful curves, and bold dark metal legs, elevating comfort with a touch of modern flair.

Tap to shop now!",0,0,2040,2025-08-16T10:10:59.000Z,https://www.instagram.com/p/DNaXwIouZhJ/,16-03-2026,16-08-2025,180,7,2.079441542,0,1,8,2,24,4.344865896,4750,0,1,,1,0,6,1
"Minimalistic texture with maximum calm. This thread-work canvas is all about quiet confidence. 

Visit us in store or shop online at www.westelm.in",222,222,1420,2026-02-11T08:02:17.000Z,https://www.instagram.com/p/DUnDT_lDp49/,16-03-2026,11-02-2026,19,54,4.007333185,0,3,4,2,67,2.637405186,4750,1,1,,1,0,6,2
"When Scandinavian royals need a red-carpet look, they call @soerenleschmidt. When fashion designer Le Schmidt needs furniture, he calls on BoConcept – specifically the Seoul chair and Santiago dining table. 

Gifted in Dark Oak and Black Stain finishes that reflect his dramatic take on minimalism, this pairing connects a neutral space around an eye-catching dining setup.

Follow the link in our bio to explore more dining room inspiration.",100,100,1420,2025-04-19T06:50:00.000Z,https://www.instagram.com/p/DIqK_oJyxo4/,16-03-2026,19-04-2025,243,17,2.890371758,0,1,1,2,47,3.00188206,12300,1,0,,1,0,0,2
"Save these to your ""soft luxury"" folder. Where minimalism meets mood lighting.

@hawthornehomebody
@fiorellodesigns
@byfazlee

#mycb2",100,100,1420,2024-09-09T14:27:44.000Z,https://www.instagram.com/p/C_syG89IOe0/,16-03-2026,09-09-2024,437,33,3.526360525,2,1,1,2,55,0,12300,0,1,,1,0,1,2
"Calm space, clear mind.

When it comes to your home office, decorating is about style and focus. Soft, tonal colours and understated finishes reduce visual noise, helping you concentrate on what matters most.

Follow the link in our bio to shop the look.",0,0,1432,2025-08-27T18:00:58.000Z,https://www.instagram.com/p/DN3e5cyROLr/,16-03-2026,27-08-2025,171,160,5.081404365,0,1,5,2,91,5.001620802,4680,1,0,,1,1,5,2
"A touch of marble. A sweeping brass lamp. A convex mirror. Find that one thing that makes your home feel new again.

@stagedtosellhome
@lindseydana_interiors
@jofinteriors

#mycb2",0,0,1447,2025-11-07T18:02:05.000Z,https://www.instagram.com/p/DQwtzqlkh92/,16-03-2026,07-11-2025,88,26,3.295836866,0,1,4,2,99,5.042663386,4680,0,1,,1,0,6,2
"2026 interior trends invite us to create homes that work smarter, feel calmer, and reflect who we are: 
 
(01) Configurable comfort – modular design comes to the fore, offering flexible, stylish solutions that evolve with you and the way you live. 
 
(02) Acoustic sanctuaries – soft materials and rounded forms transform open spaces into calm, quiet corners made for personal restoration. 
 
(03) Your home, your story – a return to curated individuality, where contemporary design meets personal pieces to create a home that feels uniquely yours.

A new year for thoughtful living. Tap the link in bio to get inspired.",0,19,1766,2026-03-11T12:41:45.000Z,https://www.instagram.com/p/DVvpmJvCZLD/,16-03-2026,11-03-2026,2,20,3.044522438,0,4,5,2,70,4.23924179,10350,0,0,,1,1,3,2
"This round antique mirror adds a soft glow and timeless reflection to your space. 

Visit us in-store to explore mirrors or shop online at www.potterybarn.in",49,49,1999,2026-01-25T11:42:23.000Z,https://www.instagram.com/p/DT7rB8vCa8U/,16-03-2026,25-01-2026,27,24,3.218875825,0,1,6,2,60,3.577310615,10350,0,0,,0,0,5,2
"Bring the calm of nature into your home with the Flora art prints. Captured through @helenachristensen lens, their organic forms and soft tones gently ground your space in natural beauty.

Want real blooms that last forever? Follow the link in our bio to shop Flora art prints.",53,53,2040,2026-02-24T10:37:20.000Z,https://www.instagram.com/p/DVIzbz_ASx1/,16-03-2026,24-02-2026,10,19,2.995732274,1,1,8,2,1,3.704981879,9100,1,1,,1,0,11,2
"When everything in the room is that one perfect thing.

@stagedtosellhome
@studioalvarezinteriors

#mycb2",0,0,2500,2025-11-15T08:03:21.000Z,https://www.instagram.com/p/DREde5Vju-W/,16-03-2026,15-11-2025,81,39,3.688879454,2,1,0,2,35,2.555852928,4750,1,1,,1,0,5,2
"Celebrate the season with our Modern Farmhouse coffee table. Let our Design Crew add the festive touch to your home this season. 

Shop online or in-stores today.",0,0,2040,2025-07-07T14:45:36.000Z,https://www.instagram.com/p/DLz3bGrp14a/,16-03-2026,07-07-2025,202,15,2.772588722,1,1,7,2,84,0,10350,0,0,,1,0,4,2
"Lessons in soft geometry.

A wingback chair in sheepskin. Architecturally inspired dining seats in mink velvet. Structured tufting on plush cushions. Where form meets cozy.

@stagedtosellhome
@sans.murs
@bradsteinphoto
#RSHome2025

#mycb2",29,29,2040,2025-02-14T08:00:00.000Z,https://www.instagram.com/p/DGC7WcpIxNm/,16-03-2026,14-02-2025,308,25,3.258096538,2,1,7,2,1,3.94705486,12300,1,1,,1,1,2,2
"Bring a golden glow to your celebrations. 

Handcrafted metal votive holders in finger-ring and coupe shapes add heirloom charm to every tealight.

Shop in stores or online at www.potterybarn.in

Diwali Tealight Candle Holder Gift Hamper: 
https://potterybarn.in/product/diwali-tealight-candle-holder-gift-hamper-17150776",50,50,2040,2024-11-30T07:35:00.000Z,https://www.instagram.com/p/DC_MEgXIs5f/,16-03-2026,30-11-2024,386,15,2.772588722,2,1,7,2,1,5.292763,12300,1,0,,1,1,4,2
"Full of grace and beautifully lifelike, our Faux Cone Hydrangea Bundle brings timeless elegance to any setting—no sunlight required. 
Shop in stores or online at www.potterybarn.in",0,0,2500,2025-02-06T12:28:52.000Z,https://www.instagram.com/p/DFuzvfcSxlx/,16-03-2026,06-02-2025,322,17,2.890371758,0,2,0,2,1,4.314207033,9100,1,1,,0,1,0,2
"The kind of aesthetics you borrow from a trip abroad.

@percyhaus
@aniaomskitalwar

#mycb2",0,0,2500,2024-12-09T07:35:00.000Z,https://www.instagram.com/p/DDRNq2-SRMi/,16-03-2026,09-12-2024,376,37,3.63758616,2,1,0,2,54,4.074446609,12300,0,0,,0,1,6,2
"Sunday night caviar and champagne? Yes, please.

@girlllllhouse",84,84,2500,2024-12-05T07:15:00.000Z,https://www.instagram.com/p/DDMBx6RyyNU/,16-03-2026,05-12-2024,382,26,3.295836866,4,0,0,2,18,5.009891148,9100,0,0,,1,0,0,2
"In this recent Edinburgh project, our Interior Designers created visual interest with a tonal palette by mixing organic curves with clean angles.

Want advice styling your home? Our Interior Designers are here to help via the link in bio.",58,58,2500,2024-11-15T07:35:00.000Z,https://www.instagram.com/p/DCV-3BIoXuz/,16-03-2026,15-11-2024,396,29,3.401197382,2,0,0,2,1,0,9100,0,0,,1,1,0,2
"Add a touch of comfort to your space with a familiar yet iconic palette of hues.

Tap the link in our bio to explore.",0,0,2746,2025-08-31T17:01:58.000Z,https://www.instagram.com/p/DOBuwGbEyMa/,16-03-2026,31-08-2025,169,41,3.737669618,0,1,6,2,117,3.577841304,10350,0,1,,1,1,5,2
"Add a splash of global style to your space with our Printed Ikat Pillow Cover. 

Shop now on www.westelm.in or in-stores.",0,0,2754,2024-11-06T13:15:32.000Z,https://www.instagram.com/p/DCB_8yxyQBk/,16-03-2026,06-11-2024,405,24,3.218875825,5,1,2,2,89,0,12300,1,0,,0,0,4,2
"A storage solution can be more than just packing everything behind cupboard doors. The Calgary storage system blends open-shelving with drop down compartments and push-to-open drawers to create a sleek and stylish display for your home. 

Follow the link in bio to explore Calgary storage.",0,0,2762,2025-10-10T18:01:47.000Z,https://www.instagram.com/p/DPonlo2E1Aj/,16-03-2026,10-10-2025,120,15,2.772588722,0,1,8,2,151,3.719923433,4680,0,1,,0,0,7,2
"The hunt is over. We'll find the perfect sofa for you.

Crafted with heritage furniture makers alongside the finest global textile mills to bring you the highest caliber construction and materials available today. Find something you can't live without, all with the help of CB2 Interior Design Services (make an appointment—it's free):https://cb2.visitlink.me/Hv84-m",94,94,2763,2025-04-24T09:00:00.000Z,https://www.instagram.com/p/DI0tKV6S8Mp/,16-03-2026,24-04-2025,241,72,4.290459441,2,4,3,2,49,1.885494861,9100,0,1,,0,0,1,2
"Expertly printed to capture the intricate beauty of an heirloom rug. 

Available on www.westelm.in and in-stores now.",0,0,2766,2025-09-13T18:01:03.000Z,https://www.instagram.com/p/DOjGCBMjzcI/,16-03-2026,13-09-2025,158,55,4.025351691,1,1,5,2,64,5.196454,4680,1,0,,1,0,11,2
"Every reason to dress up and stay out a little longer.
Black fits, soft shimmer, effortless energy, 
meet-ups that feel like a celebration.

Because every moment deserves a little sparkle.

Shop the Celebration Edit, black, silk, and subtle shine made for nights that turn into memories.

#Fabindia #CelebrateIndia #CelebratingPeople #blackoutfits #CelebrationEdit #EveningStories #AllBlackMood #LittleSparkle #PartyWear

[black outfits, party wear for women, celebration wear, evening looks, festive fashion, all black style, subtle shimmer, black silk shirts, sparkle outfits, night out look]",0,0,2779,2025-11-11T16:44:49.000Z,https://www.instagram.com/p/DQ7GBdpkx89/,16-03-2026,11-11-2025,86,310,5.739792912,1,4,5,2,126,4.556801566,10350,0,1,,0,0,1,2
"Naturally unique -  Butter Scotch marble with a timeless finish. 

Visit us in-store or shop online at www.potterybarn.in",58,58,2784,2025-10-18T16:45:21.000Z,https://www.instagram.com/p/DP9TASWCUP8/,16-03-2026,18-10-2025,115,49,3.912023005,1,4,2,2,206,5.03385,10350,1,1,,0,0,2,2
"Sculptural form meets everyday function. A statement you’ll gather around.

Shop in stores or online at www.westelm.in",0,0,2802,2025-09-18T20:00:33.000Z,https://www.instagram.com/p/DOwXbO3Ewfl/,16-03-2026,18-09-2025,151,21,3.091042453,1,3,5,2,118,2.194890105,4680,0,0,,0,1,3,2
"Our new Aarhus collection is precision-engineered for modern living.

Inspired by Danish design traditions and informed by circular design principles, the Aarhus collection features a solid wood frame and a modular construction that allows for easy repair, replacement, and recycling.

Learn more about Aarhus' circularity via the link in our bio.

#LiveDanish #BoConcept #DanishSofa #MinimalistHomeDecor #ModularSofa",54,54,2819,2024-10-24T07:45:00.000Z,https://www.instagram.com/p/DBf75IioIMx/,16-03-2026,24-10-2024,412,12,2.564949357,0,1,3,2,93,5.321453446,12300,0,1,,0,0,3,2
"Modern take on Italian mid-century design. 

Tap to shop the Lucia Ottoman now.",62,62,2820,2025-01-09T07:40:00.000Z,https://www.instagram.com/p/DEmMbu0S0Ad/,16-03-2026,09-01-2025,349,24,3.218875825,2,1,3,2,74,4.43308286,12300,1,0,,0,0,2,2
"With a brief for decadent textures and blue accents in this Lyon home, our Interior designers used a neutral-hued palette as a foundation for rich, deep blues and layers of plush fabrics – think ribbed cobalt dining chairs, cream bouclé seating and an embossed rug in taupe.

Want advice styling your home? Our Interior Designers are here to help via the link in bio.",93,93,2828,2025-12-22T06:30:34.000Z,https://www.instagram.com/p/DSjkUXxAeZb/,16-03-2026,22-12-2025,53,31,3.465735903,1,1,6,2,48,1.940670893,9100,1,1,,0,0,4,2
"Timeless design, weathered beauty. The Aptos Side Table is perfect for books, décor & more. 

Shop now in-stores or online.",48,48,2828,2025-12-20T08:33:04.000Z,https://www.instagram.com/p/DSeotFejqCF/,16-03-2026,20-12-2025,55,51,3.951243719,1,3,2,2,64,4.181419266,4750,0,1,,0,0,2,2
"BLACK WEEK sale now on – including our new bed collections.

From serene simplicity to refined grandeur, craft your bedroom sanctuary during our biggest sale of the year.

Shop BLACK WEEK beds via the link in bio.",0,0,2500,2025-07-26T07:00:54.000Z,https://www.instagram.com/p/DMj9TlZNSXd/,16-03-2026,26-07-2025,190,32,3.496507561,1,0,0,2,47,4.395901855,4750,1,0,,1,0,0,2
"Lights, laughter, and a whole lot of festive flair! 
This Diwali, our teams across Fabindia came together to celebrate the season in true Indian spirit, from talent showcases and fun games to vibrant ethnic ensembles and a heartwarming festive lunch.

Every smile reflected the joy of togetherness, every moment echoed the spirit of celebration.

Here’s to a Diwali that felt just like home, full of warmth, colour, and community.

#Fabindia #CelebrateIndia #CelebratingPeople #DiwaliAtWork #FestiveTogether #TeamFabindia #DiwaliCelebration",0,0,3165,2026-01-22T18:10:29.000Z,https://www.instagram.com/p/DT0pD20kmcq/,16-03-2026,22-01-2026,28,111,4.718498871,0,3,0,2,105,2.285371626,10350,1,0,,1,0,1,2
Experience the art of dining with our Organic Shaped Dinnerware. The unique design and metallic rim elevate casual dinners and dazzle for formal gatherings.,37,37,3225,2026-01-24T06:30:00.000Z,https://www.instagram.com/p/DT4ihUsCFZ_/,16-03-2026,24-01-2026,28,30,3.433987204,1,3,2,2,1,2.205854104,9100,0,1,,1,0,0,2
"“There’s something so special about creating a space that feels truly yours.” – @helenachristensen .

This season, take inspiration from our Global Artistic Director, Helena Christensen, and explore her favourite BoConcept pieces – curated to reflect her unique sense of style and comfort.

Click the link in our bio to discover Helena's handpicked selections from our new collection.

#LiveDanish #BoConcept #DesignforLiving #CraftedForComfort",34,34,3227,2025-02-22T08:10:00.000Z,https://www.instagram.com/p/DGXi60aofYS/,16-03-2026,22-02-2025,296,24,3.218875825,1,1,1,2,1,2.285935879,12300,0,0,,0,1,1,2
"Art for your shelf. Modern shapes, timeless impact.

Shop in stores or online at www.westelm.in",0,0,3231,2025-09-09T08:07:10.000Z,https://www.instagram.com/p/DOX8qHfDqV6/,16-03-2026,09-09-2025,163,26,3.295836866,1,1,6,2,48,4.751929209,4750,0,0,,1,0,8,2
"Stack up on style! 

Our Modern Stacking Stools to bring a pop of color and function to any room. 

Shop the look now at www.westelm.in or visit in-stores!",89,89,3235,2025-05-16T06:50:00.000Z,https://www.instagram.com/p/DJtHrfMTSbv/,16-03-2026,16-05-2025,229,25,3.258096538,1,1,8,2,48,4.122230473,9100,1,1,,0,1,6,2
"This month, the Modena sofa is at home in two very different living spaces.

At @ss_midcentury, a grey-toned Modena sits alongside warm wood panelling and graphic accents, creating a vintage-inspired setting.

@this_wallace_farmhouse chooses soft pink upholstery to bring warmth and colour to a cool, wintery interior.

Style Modena your way via the link in our bio.

#ModernLivingRoom #QuietLuxuryHome #DesignForLiving #CraftedForComfort",62,62,3241,2024-10-19T12:23:00.000Z,https://www.instagram.com/p/DBTjoUAonxj/,16-03-2026,19-10-2024,418,24,3.218875825,2,1,2,2,1,4.476349447,12300,0,1,,0,1,3,2
"Experience the magic of Black Friday at Pottery Barn. Discover stunning pieces at incredible prices. 

Shop online or in-store today.",350,350,3242,2025-12-24T13:55:00.000Z,https://www.instagram.com/p/DSpg1P5Ade8/,16-03-2026,24-12-2025,52,26,3.295836866,1,2,0,2,1,4.913718,9100,0,1,,1,1,0,2
